timestamp,event_title,contract_ticker,contract_title,target_time_edt,time_to_expiry_minutes,current_btc_price,strike_price,direction,selected_horizon,market_yes_probability,market_no_probability,model_yes_probability,model_no_probability,yes_edge,no_edge,confidence,recommendation,liquidity_score,bid_ask_spread,mapping_confidence,key_drivers,warnings,rank_score
2026-05-30T21:22:11.176841+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T82799.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.8,73873.53,82799.99,above,60m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3373,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,874, strike $82,800, sigma_h=0.0023, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.34 below threshold 0.65,0.0
2026-05-30T21:22:11.177316+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T82699.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.8,73873.53,82699.99,above,60m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3373,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,874, strike $82,700, sigma_h=0.0023, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.34 below threshold 0.65,0.0
2026-05-30T21:22:11.177668+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T82599.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.8,73873.53,82599.99,above,60m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3373,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,874, strike $82,600, sigma_h=0.0023, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.34 below threshold 0.65,0.0
2026-05-30T21:22:11.177965+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T82499.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.8,73873.53,82499.99,above,60m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3373,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,874, strike $82,500, sigma_h=0.0023, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.34 below threshold 0.65,0.0
2026-05-30T21:22:11.178273+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T82399.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.8,73873.53,82399.99,above,60m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3373,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,874, strike $82,400, sigma_h=0.0023, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.34 below threshold 0.65,0.0
2026-05-30T21:22:11.178584+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T82299.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.8,73873.53,82299.99,above,60m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3373,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,874, strike $82,300, sigma_h=0.0023, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.34 below threshold 0.65,0.0
2026-05-30T21:22:11.178861+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T82199.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.8,73873.53,82199.99,above,60m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3373,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,874, strike $82,200, sigma_h=0.0023, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.34 below threshold 0.65,0.0
2026-05-30T21:22:11.179154+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T82099.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.8,73873.53,82099.99,above,60m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3373,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,874, strike $82,100, sigma_h=0.0023, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.34 below threshold 0.65,0.0
2026-05-30T21:22:11.179458+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T81999.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.8,73873.53,81999.99,above,60m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3373,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,874, strike $82,000, sigma_h=0.0023, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.34 below threshold 0.65,0.0
2026-05-30T21:22:11.179738+00:00,KXBTCD-26MAY3018,KXBTCD-26MAY3018-T81899.99,"Bitcoin price on May 30, 2026?",2026-05-30 6:00 PM EDT,37.8,73873.53,81899.99,above,60m,0.005,0.995,0.1563,0.8437,0.1513,-0.1513,0.3373,NO TRADE,0.505,0.01,0.75,"Lognormal CDF: spot $73,874, strike $81,900, sigma_h=0.0023, P(above)=0.000. | Above contract: model YES = P(above strike) = 0.156. | Fusion weights: strike=40%, rule=20%, ML=30%, OB=10%. | Model YES probability is 15 percentage points above market YES price. | Liquidity is acceptable and spread is within threshold.",multiple prices in title; using first/strike match | confidence 0.34 below threshold 0.65,0.0
